Feature ID,Domain,Phylum,Class,Order,Family,Genus,species
32b5cf43aa3cd7d6219b524799d82f56,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
4865a7976717c8053c6892b9369436bc,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned
15d56c1957f615a428b92ab2d5f3e1ee,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Unassigned,Unassigned
689370ba4fc3d57b0cd2924eb38fbd59,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Fusarium_circinatum
4023515bdee1f6662e63ee75d6eacf0f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Arsenicitalea,Unassigned
1cb4a07d2a8445a375c71b766a0c3199,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_9,uncultured_bacterium
17c9b9972ef94976727f0d77d6d23d70,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Taibaiella,Unassigned
4850a238b7fbbd5ffa204c5a5a396f2c,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Hafnia-Obesumbacterium,Unassigned
ad9018f80e00f2ca4b48067195ac310d,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Unassigned
c1863b8fc0c7c1e80dbc7195e9ad2062,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Unassigned
b71ddb0123c1dab920853cf9b3be4553,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Myrmecia_israeliensis
d48787d7198290d39a744b5115c70830,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Unassigned,Unassigned
2a39f0b75d31d00b3136b2edbe82962e,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora,Unassigned
38c27ceaed634984c1225a82648cf571,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unassigned
6e38feb2a49baf0e50a702c00789b58a,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseococcus,uncultured_bacterium
ff2479fe2a76789d3a15ac241423a55f,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
a6dc887e72e5edb17ea7e53370930ad6,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Phytophthora_agathidicida
1fe2830c2ccbe5d18b111772757d0421,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Oscillatoriales_cyanobacterium
37e218861982f2dc0e4f8fcffa5b1a03,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Bracteacoccus_giganteus
312f85fff91f5153e724b94b594e7ccb,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella,Nakamurella_sp.
3865533055aed1a7aa22962079c2913d,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ce9cc473076ece3a4bc2021e46a8a4b4,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Neptuniibacter,uncultured_bacterium
5db6bdad5c3ebbfeb0e2ba6f9a8a4ec7,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
295d94fd5c278d3ac45c413c55d6b143,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,SH-PL14,uncultured_planctomycete
9fe4c3dfc721f87da8ff9661f9600667,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Unassigned
